state	index	0	1	2	3	4
Alabama	2015-01-31	-0.919334356123	-1.38359729235	0.192522806731	-1.38010011757	0.791857805774
Alaska	2015-02-28	0.057079377382	-0.409658452313	-1.57092068581	-0.426460601105	0.123521603532
Arizona	2015-03-31	-0.989937981511	1.3466950435	1.06970341992	0.058299502769	0.0607480781962
Alabama	2015-04-30	-0.808418576029	-0.559032382122	-0.982987623732	-0.27444632925	-1.99315784718
Alaska	2015-05-31	-0.642066295604	-0.426966585689	0.857912281209	0.198350910324	0.529362607705
Arizona	2015-06-30	-0.930582279504	0.748676539236	-0.625710852255	0.594005707678	-0.20855181742
Alabama	2015-07-31	0.449598588174	0.238201008504	-0.631288467487	-1.72048087979	1.13184577232
Alaska	2015-08-31	-1.57205004521	-1.52313397131	-1.28939495022	-0.450397580914	0.491159004652
Arizona	2015-09-30	-0.929270496339	0.517998962185	0.722671173463	0.53005195518	-0.662577195855
Alabama	2015-10-31	-0.00954261112313	-0.14836379353	-0.442470373371	-0.260507061371	-0.957607252122
Alaska	2015-11-30	0.109870635296	-0.211638439873	2.19633564541	-0.254223377497	-0.119908905608
Arizona	2015-12-31	0.0170095296095	0.838574670046	-1.18075401553	0.244201545751	1.44370767909
Alabama	2016-01-31	0.534068385774	0.403782135042	-0.64535367129	0.283446851488	-1.69741505824
Alaska	2016-02-29	0.618968492323	-0.733933921682	-1.28172950105	-1.06251138695	1.21023453213
Arizona	2016-03-31	0.12210460864	0.453805934971	-1.23929013659	-0.480301100592	0.213630572701
Alabama	2016-04-30	0.916936964194	0.360879853581	-1.37248258791	-1.07461053212	-1.26915318142
Alaska	2016-05-31	-0.248173588436	-0.352128451167	-0.586102239741	0.399002294275	-0.15166263186
Arizona	2016-06-30	-1.1377313614	-0.800764432806	-0.407639873964	-0.0828780942676	0.0696723858123
Alabama	2016-07-31	1.23091331419	-0.571427979299	2.09559545453	0.318657067959	0.444253575042
Alaska	2016-08-31	-0.428192683343	0.41589343622	0.911926253656	0.734048868422	1.31154802784
Arizona	2016-09-30	0.947801532776	0.442249866183	1.72185174936	-2.01338404348	-0.16271879847
Alabama	2016-10-31	-0.968390382004	0.0967574231266	0.914992001064	-1.27620814144	-0.0438675556772
Alaska	2016-11-30	-0.84039852253	-0.712185091825	-0.885329370452	0.6779810919	-0.603635861121
Arizona	2016-12-31	0.25869784161	-0.159244803351	-0.137034258437	-0.686392888719	-0.678678626961
Alabama	2017-01-31	0.708717297478	2.12854967412	0.241804646712	1.35112990952	0.231546521915
Alaska	2017-02-28	-0.141392680474	0.300985116693	0.0810620618444	-0.387260837687	0.0956322014178
Arizona	2017-03-31	-0.482340627923	2.41235996678	1.13612804754	-1.40773163816	-1.76570063801
Alabama	2017-04-30	1.33302934188	-1.58310582573	-0.74963487899	-1.73652894929	0.708955767754
Alaska	2017-05-31	-1.39049814859	1.0031004283	0.167475653705	-0.150759829031	-0.48792310838
Arizona	2017-06-30	-0.391372736961	1.72249835676	-0.157337183881	-0.386732992295	-0.0873095737913
