,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
11585,201310.0,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,5648.0
11586,201311.0,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,6003.0
11587,201311.0,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,6865.0
11588,201311.0,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,A,5406.0
11589,201311.0,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,5457.0
11590,201311.0,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,15386.0
11591,201311.0,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,15532.0
11592,201311.0,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,7814.0
11593,201311.0,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,7811.0
11594,201311.0,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,7170.0
11595,201311.0,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,7664.0
11596,201311.0,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,8458.0
11597,201311.0,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,8820.0
11598,201311.0,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Deplaned,Low Fare,Terminal 1,B,3924.0
11599,201311.0,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Enplaned,Low Fare,Terminal 1,B,3995.0
11600,201311.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,International,A,95.0
11601,201311.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,International,A,3334.0
11602,201311.0,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 1,B,39105.0
